Pokémon,Card Name,Set,Card Number
"Hisuian Zoroark","Zoroark VSTAR","Crown Zenith","GG56 / GG70"
"Hisuian Zoroark","Zoroark V","Lost Origin","146 / 196"
"Hisuian Zoroark","Zoroark VSTAR","Lost Origin","147 / 196"
"Hisuian Zoroark","Zoroark VSTAR","Lost Origin","203 / 196"
"Hisuian Zoroark","Zoroark VSTAR","Lost Origin","213 / 196"
"Hisuian Zoroark","Zoroark","Lost Origin","76 / 196"
"Hisuian Zoroark","Zoroark V","SWSH Promos","SWSH297"
"Hisuian Zoroark","Zoroark VSTAR","SWSH Promos","SWSH298"
"Hisuian Zorua","Zorua","Lost Origin","75 / 196"
"Zoroark","Zoroark","BREAKThrough","91 / 162"
"Zoroark","Zoroark BREAK","BREAKThrough","92 / 162"
"Zoroark","Zoroark","BW Promos","BW19"
"Zoroark","Zoroark","BW Promos","BW9"
"Zoroark","Zoroark","Black White","71 / 114"
"Zoroark","Zoroark","Dark Explorers","71 / 108"
"Zoroark","Zoroark","Emerging Powers","67 / 98"
"Zoroark","Zoroark","Everyones Exciting Battle","35 / 47"
"Zoroark","Zoroark","Evolving Skies","103 / 225"
"Zoroark","Zoroark","Fusion Strike","171 / 264"
"Zoroark","Zoroark","Legendary Treasures","90 / 113"
"Zoroark","Zoroark","Next Destinies","102 / 99"
"Zoroark","Zoroark GX","SM Promos","SM84"
"Zoroark","Zoroark","SM Promos","SM89"
"Zoroark","Zoroark GX","Shining Legends","53 / 73"
"Zoroark","Zoroark GX","Shining Legends","77 / 73"
"Zoroark","Zoroark","Shrouded Fable","32 / 64"
"Zoroark","Greninja &  Zoroark GX","Tag All Stars","223 / 173"
"Zoroark","Zoroark","Team Up","91 / 181"
"Zoroark","Greninja &  Zoroark GX","Unbroken Bonds","107 / 214"
"Zoroark","Greninja &  Zoroark GX","Unbroken Bonds","200 / 214"
"Zoroark","Greninja &  Zoroark GX","Unbroken Bonds","201 / 214"
"Zoroark","Greninja &  Zoroark GX","Unbroken Bonds","222 / 214"
"Zoroark","Zoroark","White Flare","143 / 86"
"Zoroark","Zoroark","White Flare","62 / 86"
"Zoroark","Zoroark","X Y","73 / 146"
"Zorua","Zorua","BREAKThrough","89 / 162"
"Zorua","Zorua","BREAKThrough","90 / 162"
"Zorua","Zorua","BW Promo","116 / BW-P"
"Zorua","Zorua","BW Promo","32 / BW-P"
"Zorua","Zorua","BW Promos","BW12"
"Zorua","Zorua","Black White","70 / 114"
"Zorua","Zorua","Dark Explorers","69 / 108"
"Zorua","Zorua","Dark Explorers","70 / 108"
"Zorua","Zorua","Emerging Powers","66 / 98"
"Zorua","Zorua","Everyones Exciting Battle","34 / 47"
"Zorua","Zorua","Evolving Skies","102 / 225"
"Zorua","Zorua","Fusion Strike","170 / 264"
"Zorua","Zorua","Hidden Fates","SV25 / SV94"
"Zorua","Zorua","Journey Friends","9 / 9"
"Zorua","Zorua","Legendary Treasures","89 / 113"
"Zorua","Zorua","McDonalds Promos 2011","9 / 12"
"Zorua","Zorua","SM Promos","SM83"
"Zorua","Zorua","Shining Legends","52 / 73"
"Zorua","Zorua","Shrouded Fable","31 / 64"
"Zorua","Zorua","Shrouded Fable","75 / 64"
"Zorua","Zorua","Team Up","90 / 181"
"Zorua","Zorua","White Flare","142 / 86"
"Zorua","Zorua","White Flare","61 / 86"
"Zorua","Zorua","X Y","72 / 146"
