Pokémon,Card Name,Set,Card Number
Zorua,Zorua,BREAKThrough,89 / 162
Zorua,Zorua,BREAKThrough,90 / 162
Zorua,Zorua,BW Promo,32 / BW-P
Zorua,Zorua,BW Promo,116 / BW-P
Zorua,Zorua,BW Promo,BW12
Zorua,Zorua,Black & White,70 / 114
Zorua,Zorua,Dark Explorers,69 / 108
Zorua,Zorua,Dark Explorers,70 / 108
Zorua,Zorua,Emerging Powers,66 / 98
Zorua,Zorua,Evolving Skies,102 / 225
Zorua,Zorua,Fusion Strike,170 / 264
Zorua,Zorua,Hidden Fates,SV25 / SV94
Zorua,Zorua,Journey Together,97 / 159
Zorua,Zorua,Legendary Treasures,89 / 113
Zorua,Zorua,McDonald's Promos 2011,9 / 12
Zorua,Zorua,SM Promo,SM83
Zorua,Zorua,SV Promo,189
Zorua,Zorua,Shining Legends,52 / 73
Zorua,Zorua,Shrouded Fable,31 / 64
Zorua,Zorua,Shrouded Fable,75 / 64
Zorua,Zorua,Team Up,90 / 181
Zorua,Zorua,XY,72 / 146
Hisuian Zorua,Hisuian Zorua,Lost Origin,75 / 196
Zoroark,Zoroark,BREAKThrough,91 / 162
Zoroark,Zoroark BREAK,BREAKThrough,92 / 162
Zoroark,Zoroark,BW Promo,BW9
Zoroark,Zoroark,BW Promo,BW19
Zoroark,Zoroark,Black & White,71 / 114
Zoroark,Zoroark,Dark Explorers,71 / 108
Zoroark,Zoroark,Emerging Powers,67 / 98
Zoroark,Zoroark,Evolving Skies,103 / 225
Zoroark,Zoroark,Fusion Strike,171 / 264
Zoroark,Zoroark ex,Journey Together,98 / 159
Zoroark,Zoroark ex,Journey Together,175 / 159
Zoroark,Zoroark ex,Journey Together,185 / 159
Zoroark,Zoroark ex,Journey Together,189 / 159
Zoroark,Zoroark,Legendary Treasures,90 / 113
Zoroark,Zoroark,Next Destinies,102 / 99
Zoroark,Zoroark GX,Shining Legends,53 / 73
Zoroark,Zoroark GX,Shining Legends,77 / 73
Zoroark,Zoroark,Shrouded Fable,32 / 64
Zoroark,Zoroark SM Promo,SM89
Zoroark,Zoroark GX,SM Promo,SM84
Zoroark,Zoroark,Team Up,91 / 181
Zoroark,Greninja & Zoroark GX,Unbroken Bonds,107 / 214
Zoroark,Greninja & Zoroark GX,Unbroken Bonds,200 / 214
Zoroark,Greninja & Zoroark GX,Unbroken Bonds,201 / 214
Zoroark,Greninja & Zoroark GX,Unbroken Bonds,222 / 214
Zoroark,Zoroark,XY,73 / 146
Hisuian Zoroark,Hisuian Zoroark V,Lost Origin,146 / 196
Hisuian Zoroark,Hisuian Zoroark VSTAR,Lost Origin,147 / 196
Hisuian Zoroark,Hisuian Zoroark VSTAR,Lost Origin,203 / 196
Hisuian Zoroark,Hisuian Zoroark VSTAR,Lost Origin,213 / 196
Hisuian Zoroark,Hisuian Zoroark,Lost Origin,76 / 196
Hisuian Zoroark,Hisuian Zoroark VSTAR,Crown Zenith,GG56 / GG70
Hisuian Zoroark,Hisuian Zoroark V,SWSH Promo,SWSH297
Hisuian Zoroark,Hisuian Zoroark VSTAR,SWSH Promo,SWSH298
